hub_family,spoke_airport,operator_class,flights_total,meets_min_flights,hotspot_robustness_score,hotspot_score_base,hotspot_score_weather_emphasis,hotspot_score_controllable_cascade_emphasis,hotspot_score_economic_emphasis,norm_cancel,norm_severe_delay,norm_controllable,norm_cascade,norm_weather_sensitivity,norm_economic_burden
ORD,BGR,SkyWest_unresolved,318,True,0.0,0.3810730841121495,0.3669158878504673,0.4491588785046729,0.2891588785046729,0.052336448598130844,0.6336448598130842,0.9093457943925234,0.19345794392523363,0.34579439252336447,0.15140186915887852
ORD,BHM,Envoy_operated,1570,True,0.0,0.17059485981308412,0.2350467289719626,0.1722429906542056,0.1277570093457944,0.1280373831775701,0.15046728971962617,0.15700934579439252,0.1925233644859813,0.3317757009345794,0.06355140186915888
ORD,BHM,Republic_unresolved,642,True,0.0,0.14076023364485982,0.25042056074766356,0.1344392523364486,0.09640186915887851,0.11775700934579439,0.03177570093457944,0.06869158878504673,0.18130841121495328,0.41495327102803736,0.029906542056074768
ORD,BHM,SkyWest_unresolved,330,True,0.0,0.700373691588785,0.7990186915887851,0.7311682242990655,0.6582710280373832,0.15327102803738318,0.9504672897196261,0.9925233644859813,0.5626168224299065,0.947196261682243,0.5953271028037384
ORD,BIL,Envoy_operated,792,True,0.0,0.2888428037383177,0.3781308411214953,0.31794392523364484,0.2588785046728972,0.05700934579439252,0.2261682242990654,0.4700934579439252,0.25327102803738316,0.5121495327102804,0.21401869158878506
ORD,BIL,SkyWest_unresolved,314,True,0.0,0.243428738317757,0.35911214953271026,0.30098130841121495,0.16060747663551403,0.02102803738317757,0.09532710280373832,0.680373831775701,0.09439252336448598,0.5327102803738317,0.03644859813084112
ORD,BIS,Envoy_operated,412,True,0.0,0.32763560747663545,0.3625233644859813,0.3888785046728972,0.24065420560747663,0.04579439252336449,0.4327102803738318,0.31401869158878504,0.6476635514018692,0.41495327102803736,0.1102803738317757
ORD,BMI,Envoy_operated,1232,True,0.0,0.37935934579439246,0.3255140186915888,0.34626168224299064,0.3711214953271028,0.7981308411214953,0.2803738317757009,0.10934579439252337,0.48411214953271026,0.24485981308411214,0.35887850467289717
ORD,BNA,AA_mainline,1140,True,0.0,0.7504615887850467,0.8030841121495328,0.7580373831775701,0.8086915887850468,0.24485981308411214,0.9392523364485982,0.5728971962616822,0.9663551401869159,0.8822429906542056,0.8962616822429906
ORD,BNA,Envoy_operated,2433,True,0.0,0.37219280373831776,0.4804672897196262,0.3354205607476636,0.31934579439252336,0.4588785046728972,0.3299065420560748,0.08317757009345794,0.47757009345794393,0.6429906542056075,0.24018691588785046
ORD,BNA,Republic_unresolved,1716,True,0.0,0.35863869158878503,0.45700934579439256,0.3420560747663552,0.2977570093457944,0.42710280373831777,0.27850467289719627,0.26822429906542056,0.3663551401869159,0.6046728971962617,0.20654205607476636
ORD,BNA,SkyWest_unresolved,6456,True,0.0,0.5858648130841122,0.572570093457944,0.5645327102803738,0.580607476635514,0.525233644859813,0.7981308411214953,0.9672897196261683,0.09813084112149532,0.552803738317757,0.5728971962616822
