hub_family,spoke_airport,operator_class,flights_total,operated_count,cancelled_count,severe_delay_count,controllable_severe_delay_count,late_arriving_severe_delay_count,cascade_delay_count,carrier_delay_min_sum,late_aircraft_delay_min_sum,cancellation_rate,severe_delay_rate,controllable_severe_delay_rate,late_arriving_severe_delay_rate,adv_flights,adverse_weather_fragility_rate,economic_burden_per_1k,norm_cancel,norm_severe_delay,norm_controllable,norm_cascade,norm_weather_sensitivity,norm_economic_burden,meets_min_adv_flights,hotspot_score_base,hotspot_score_weather_emphasis,hotspot_score_controllable_cascade_emphasis,hotspot_score_economic_emphasis,hotspot_robustness_score,dominant_component,meets_min_flights,is_persistent
MIA,MKE,AA_mainline,187,179,7,36,13,13,27,4272.0,4016.0,0.0374331550802139,0.1925133689839572,0.06951871657754011,0.06951871657754011,19.0,0.3684210526315789,5823604.705882354,0.8836930455635491,0.9898081534772182,0.9826139088729017,0.8615107913669064,,0.9970023980815348,False,0.9429256594724221,0.942925659472422,0.9336530775379696,0.9669597655209166,1.0,unknown,True,False
DFW,ICT,AA_mainline,1535,1489,44,288,75,181,327,25475.0,29836.0,0.028664495114006514,0.18762214983713354,0.048859934853420196,0.11791530944625407,77.0,0.4805194805194805,4670472.156351793,0.7889688249400479,0.986810551558753,0.9292565947242206,0.9886091127098321,0.9806167400881057,0.9808153477218226,True,0.9425128619571301,0.9577544132095206,0.9490808586610888,0.9578338562630073,1.0,cascade,True,False
DCA,LAN,PSA_operated,1186,1115,68,193,41,122,236,7860.0,18725.0,0.05733558178752108,0.1627318718381113,0.03456998313659359,0.10286677908937605,48.0,0.4375,4338372.175379427,0.973621103117506,0.9682254196642686,0.7949640287769785,0.9784172661870504,0.9462555066079296,0.9694244604316546,True,0.9384846307975646,0.9415929811217106,0.9177670374713446,0.9508605626512008,1.0,cascade,True,False
DFW,CRP,PSA_operated,140,134,6,23,12,9,18,3373.0,1669.0,0.04285714285714286,0.16428571428571428,0.08571428571428572,0.06428571428571428,15.0,0.4,5183382.285714285,0.9178657074340527,0.9703237410071942,0.9934052757793765,0.815947242206235,,0.9910071942446043,False,0.9377098321342925,0.9377098321342926,0.9230282440714095,0.9613975486277644,1.0,unknown,True,False
ORD,TVC,SkyWest_unresolved,2768,2652,113,492,201,168,321,44885.0,28150.0,0.040823699421965315,0.1777456647398844,0.07261560693641618,0.06069364161849711,127.0,0.6062992125984252,4139423.193641619,0.907074340527578,0.9802158273381295,0.9856115107913669,0.7811750599520384,0.9982378854625551,0.9586330935251799,True,0.935157952932808,0.9603899259447067,0.9144520859083658,0.9445480091697567,0.75,weather_sensitivity,True,False
DFW,CVG,PSA_operated,125,115,10,19,10,7,14,1617.0,992.0,0.08,0.152,0.08,0.056,6.0,0.3333333333333333,5004950.720000001,0.9952038369304557,0.9532374100719424,0.9901079136690647,0.7230215827338129,,0.9886091127098321,False,0.9300359712230215,0.9300359712230216,0.8973820943245403,0.9560684785504928,0.75,unknown,True,False
DCA,CVG,PSA_operated,3158,3021,129,471,132,243,414,29387.0,41263.0,0.04084863837872071,0.14914502849905004,0.04179860671310956,0.07694743508549715,122.0,0.48360655737704916,3735905.129829006,0.907673860911271,0.9484412470023981,0.8752997601918465,0.9100719424460432,0.9823788546255506,0.9292565947242206,True,0.9255203766502217,0.9482637678403533,0.9123865665177109,0.9270148638798213,0.5,weather_sensitivity,True,False
DFW,GNV,PSA_operated,640,596,37,94,21,55,99,4073.0,13875.0,0.0578125,0.146875,0.0328125,0.0859375,55.0,0.41818181818181815,4922755.749999999,0.9754196642685852,0.9460431654676259,0.762589928057554,0.9460431654676259,0.9255506607929516,0.987410071942446,True,0.9238427759994647,0.9245259299168596,0.8960322843047148,0.9492696943766573,0.5,economic_burden,True,False
DFW,LBB,AA_mainline,1944,1879,62,304,101,160,282,30837.0,31085.0,0.03189300411522634,0.15637860082304528,0.051954732510288065,0.0823045267489712,108.0,0.39814814814814814,4366370.329218108,0.8339328537170264,0.9586330935251799,0.9430455635491607,0.9328537170263789,0.8894273127753304,0.9718225419664268,True,0.9216191804265839,0.9087424333660825,0.9281513643710583,0.941700525042521,0.5,economic_burden,True,False
DFW,LIT,AA_mainline,1681,1625,54,263,78,149,276,21795.0,27206.0,0.032123735871505056,0.15645449137418205,0.04640095181439619,0.08863771564544913,90.0,0.4,4102388.5544318864,0.8369304556354916,0.9592326139088729,0.9154676258992805,0.9544364508393285,0.8916299559471366,0.9568345323741008,True,0.9190886057673685,0.9081051458392758,0.9254339788081429,0.9341869764100614,0.5,severe_delay,True,False
