module,operator_class,hub_family,weather_bucket,period_flag,flights_total,cancelled_count,operated_count,severe_delay_count,controllable_cancel_count,controllable_severe_delay_count,late_arriving_severe_delay_count,carrier_delay_minutes_sum,late_aircraft_delay_minutes_sum,cancellation_rate,severe_delay_rate,controllable_cancel_rate,controllable_severe_delay_rate,late_arriving_severe_delay_rate,weather_fragility_rate,baseline_label,excess_cancelled_vs_baseline,excess_controllable_delay_minutes,excess_cascade_delay_minutes,economic_burden_proxy_usd,economic_burden_proxy_usd_per_1000_flights,combined_fragility_score
hub_spoke,Republic_unresolved,DFW,benign,baseline,63,0,62,2,0,0,2,83.0,316.0,0.0,0.0323,0.0,0.0,0.0323,0.0317,aa_system_average,-0.81,-288.0,-287.8,-58700.42,-931752.7,0.0161
hub_spoke,Republic_unresolved,DFW,benign,recent,52,0,52,14,0,4,5,328.0,834.0,0.0,0.2692,0.0,0.0769,0.0962,0.2692,aa_system_average,-0.99,3.7,338.0,34424.11,662002.11,0.1106
hub_spoke,Republic_unresolved,DFW,marginal,baseline,14,1,13,2,0,1,0,81.0,48.0,0.0714,0.1538,0.0,0.0769,0.0,0.2143,aa_system_average,0.5,-16.7,-104.6,-12176.67,-869762.13,0.0755
hub_spoke,Republic_unresolved,DFW,marginal,recent,7,0,7,1,0,1,0,154.0,0.0,0.0,0.1429,0.0,0.1429,0.0,0.1429,aa_system_average,-0.43,99.7,-83.1,1563.34,223334.35,0.0714
hub_spoke,Republic_unresolved,DFW,unknown,baseline,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aa_system_average,-0.03,-6.5,-8.9,-1577.24,-1577244.91,0.0
hub_spoke,Republic_unresolved,ORD,adverse,baseline,2130,88,2018,249,4,37,84,6739.0,13622.0,0.0413,0.1234,0.0019,0.0183,0.0416,0.1582,aa_system_average,-2.29,-10718.6,-18509.1,-2968520.1,-1393671.41,0.0562
hub_spoke,Republic_unresolved,ORD,adverse,recent,2829,348,2450,562,5,67,217,13682.0,30519.0,0.123,0.2294,0.0018,0.0273,0.0886,0.3217,aa_system_average,51.35,-5739.7,-7233.8,-1302898.43,-460550.88,0.1171
hub_spoke,Republic_unresolved,ORD,benign,baseline,25043,129,24892,766,17,292,405,49529.0,58697.0,0.0052,0.0308,0.0007,0.0117,0.0163,0.0357,aa_system_average,-71.5,-85508.3,-149539.6,-23887711.34,-953867.8,0.016
hub_spoke,Republic_unresolved,ORD,benign,recent,44301,585,43690,2505,13,713,1559,114472.0,212589.0,0.0132,0.0573,0.0003,0.0163,0.0357,0.0698,aa_system_average,19.84,-103164.4,-181595.3,-28909854.39,-652577.92,0.0306
hub_spoke,Republic_unresolved,ORD,marginal,baseline,5864,101,5754,361,2,78,171,12475.0,25874.0,0.0172,0.0627,0.0003,0.0136,0.0297,0.0788,aa_system_average,-22.14,-22817.6,-30387.7,-5408892.07,-922389.51,0.0308
hub_spoke,Republic_unresolved,ORD,marginal,recent,10270,362,9881,1206,7,206,611,35658.0,84514.0,0.0352,0.1221,0.0007,0.0208,0.0618,0.1527,aa_system_average,12.19,-26082.1,-36949.8,-6397033.17,-622885.41,0.06
hub_spoke,Republic_unresolved,ORD,unknown,baseline,1108,5,1103,33,1,17,13,2348.0,1590.0,0.0045,0.0299,0.0009,0.0154,0.0118,0.0343,aa_system_average,-5.34,-4507.2,-7977.2,-1269216.94,-1145502.65,0.0154
hub_spoke,Republic_unresolved,ORD,unknown,recent,1869,65,1800,273,0,46,141,9718.0,20425.0,0.0348,0.1517,0.0,0.0256,0.0783,0.1808,aa_system_average,-24.87,-2724.0,421.9,-240774.61,-128825.37,0.0726
hub_spoke,Republic_unresolved,PHL,adverse,baseline,796,74,711,122,1,21,45,3644.0,7794.0,0.093,0.1716,0.0013,0.0295,0.0633,0.2462,aa_system_average,20.05,-3448.1,-1640.7,-511087.67,-642069.94,0.0893
hub_spoke,Republic_unresolved,PHL,adverse,recent,578,69,498,98,3,10,47,1940.0,6526.0,0.1194,0.1968,0.0052,0.0201,0.0944,0.2889,aa_system_average,17.47,-4023.7,-1393.3,-545127.0,-943126.3,0.1077
hub_spoke,Republic_unresolved,PHL,benign,baseline,13662,157,13497,445,2,198,221,28635.0,33737.0,0.0115,0.033,0.0001,0.0147,0.0164,0.0441,aa_system_average,-13.95,-56234.0,-87902.3,-14640016.93,-1071586.66,0.0189
hub_spoke,Republic_unresolved,PHL,benign,recent,11211,156,11044,683,5,196,382,32394.0,56182.0,0.0139,0.0618,0.0004,0.0177,0.0346,0.0748,aa_system_average,-30.74,-46152.2,-54509.6,-10230203.34,-912514.79,0.032
hub_spoke,Republic_unresolved,PHL,marginal,baseline,2613,73,2533,174,2,46,83,7394.0,12055.0,0.0279,0.0687,0.0008,0.0182,0.0328,0.0945,aa_system_average,13.54,-11188.6,-17887.3,-2948645.99,-1128452.35,0.0369
hub_spoke,Republic_unresolved,PHL,marginal,recent,2446,91,2345,260,3,47,133,7935.0,19828.0,0.0372,0.1109,0.0012,0.02,0.0567,0.1435,aa_system_average,-11.43,-12197.2,-9023.1,-2158009.09,-882260.46,0.0562
hub_spoke,Republic_unresolved,PHL,unknown,baseline,494,11,483,13,0,4,5,937.0,776.0,0.0223,0.0269,0.0,0.0083,0.0104,0.0486,aa_system_average,0.13,-1725.5,-2667.5,-446036.54,-902907.97,0.017
hub_spoke,Republic_unresolved,PHL,unknown,recent,410,22,384,37,0,6,17,919.0,2703.0,0.0537,0.0964,0.0,0.0156,0.0443,0.1439,aa_system_average,6.26,-1511.0,-1412.3,-295076.12,-719697.84,0.0525
hub_spoke,SkyWest_unresolved,CLT,adverse,baseline,6,0,6,3,0,1,0,105.0,0.0,0.0,0.5,0.0,0.1667,0.0,0.5,aa_system_average,-0.21,64.5,-92.6,-2914.08,-485679.86,0.1667
hub_spoke,SkyWest_unresolved,CLT,adverse,recent,75,5,69,18,0,9,1,2870.0,88.0,0.0667,0.2609,0.0,0.1304,0.0145,0.3067,aa_system_average,-0.62,2359.3,-932.3,144720.19,1929602.58,0.1181
hub_spoke,SkyWest_unresolved,CLT,benign,baseline,90,0,90,9,0,6,0,1016.0,0.0,0.0,0.1,0.0,0.0667,0.0,0.1,aa_system_average,-0.79,478.8,-807.7,-33620.47,-373560.82,0.0417
hub_spoke,SkyWest_unresolved,CLT,benign,recent,1002,11,990,91,2,56,14,16290.0,3580.0,0.011,0.0919,0.002,0.0566,0.0141,0.1018,aa_system_average,-0.1,11223.1,-3600.9,773957.31,772412.49,0.0434
hub_spoke,SkyWest_unresolved,CLT,marginal,baseline,14,0,14,3,0,2,0,260.0,0.0,0.0,0.2143,0.0,0.1429,0.0,0.2143,aa_system_average,-0.39,158.6,-156.3,117.91,8421.94,0.0893
hub_spoke,SkyWest_unresolved,CLT,marginal,recent,144,3,141,12,0,6,3,923.0,616.0,0.0208,0.0851,0.0,0.0426,0.0213,0.1042,aa_system_average,-1.72,-80.3,-732.0,-82962.88,-576131.14,0.0424
hub_spoke,SkyWest_unresolved,CLT,unknown,baseline,4,0,4,1,0,1,0,116.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,aa_system_average,-0.12,92.5,-32.5,6064.37,1516093.72,0.125
hub_spoke,SkyWest_unresolved,CLT,unknown,recent,35,0,35,3,0,1,0,86.0,35.0,0.0,0.0857,0.0,0.0286,0.0,0.0857,aa_system_average,-0.77,-116.7,-251.5,-37610.65,-1074590.03,0.0286
hub_spoke,SkyWest_unresolved,DFW,adverse,baseline,2420,333,2001,508,0,145,22,30100.0,3833.0,0.1376,0.2539,0.0,0.0725,0.011,0.3475,aa_system_average,136.04,11897.2,-39446.8,-2759115.38,-1140130.32,0.1187
hub_spoke,SkyWest_unresolved,DFW,adverse,recent,2904,501,2316,655,4,192,45,38698.0,7516.0,0.1725,0.2828,0.0014,0.0829,0.0194,0.3981,aa_system_average,202.42,17769.5,-33398.2,-1529913.68,-526829.78,0.1394
hub_spoke,SkyWest_unresolved,DFW,benign,baseline,40381,397,39897,2835,2,1873,439,351737.0,68667.0,0.0098,0.0711,0.0,0.0469,0.011,0.08,aa_system_average,-119.29,112980.3,-319889.4,-21043878.49,-521133.17,0.0347
hub_spoke,SkyWest_unresolved,DFW,benign,recent,45962,1060,44747,4289,15,2535,711,465775.0,114936.0,0.0231,0.0959,0.0003,0.0567,0.0159,0.1164,aa_system_average,182.94,186721.7,-311838.9,-12653228.71,-275297.61,0.0479
